contest_name,smd_anc_votes,explicit_candidates,ward_ballots,over_votes,under_votes,ward_anc_votes,anc,smd,year,ward,winner,winner_votes,write_in_votes,smd_ballots
3F04,550,2,39051,NA,NA,26469,F,4,2012,3,SALLY W. GRESHAM,440,7,NA
3F05,812,2,39051,NA,NA,26469,F,5,2012,3,MANOLIS R. PRINIOTAKIS,581,5,NA
3F06,696,1,39051,NA,NA,26469,F,6,2012,3,DAVID SOLORZANO LOWELL,661,35,NA
3F07,719,1,39051,NA,NA,26469,F,7,2012,3,BOB SUMMERSGILL,703,16,NA
3G01,916,1,NA,NA,NA,NA,G,1,2012,3,"CAROLYN ""CALLIE"" COOK",898,18,NA
3G02,820,1,NA,NA,NA,NA,G,2,2012,3,GARY THOMPSON,790,30,NA
3G03,732,1,NA,NA,NA,NA,G,3,2012,3,RANDY SPECK,702,30,NA
3G04,857,1,NA,NA,NA,NA,G,4,2012,3,ALLEN E. BEACH,824,33,NA
3G05,860,1,39051,NA,NA,26469,G,5,2012,3,DAVID ENGEL,822,38,NA
3G06,696,1,39051,NA,NA,26469,G,6,2012,3,JIM MCCARTHY,680,16,NA
3G07,745,3,39051,NA,NA,26469,G,7,2012,3,HENRY GRIFFIN,277,6,NA
4A01,185,0,39308,NA,NA,26482,A,1,2012,4,WRITE-IN,185,185,NA
4A02,1139,1,39308,NA,NA,26482,A,2,2012,4,DWAYNE M. TOLIVER,1113,26,NA
4A03,688,1,39308,NA,NA,26482,A,3,2012,4,"STEPHEN A. ""STEVE"" WHATLEY",680,8,NA
4A04,783,1,39308,NA,NA,26482,A,4,2012,4,MARIAN C. BENNETT,763,20,NA
4A05,62,0,39308,NA,NA,26482,A,5,2012,4,WRITE-IN,62,62,NA
4A06,426,1,39308,NA,NA,26482,A,6,2012,4,KARRYE Y. BRAXTON,416,10,NA
4A07,679,1,39308,NA,NA,26482,A,7,2012,4,DAVE WILSON,663,16,NA
4A08,1043,1,39308,NA,NA,26482,A,8,2012,4,GALE BLACK,1018,25,NA
4B01,979,2,39308,NA,NA,26482,B,1,2012,4,SARA GREEN,766,10,NA
4B02,868,1,39308,NA,NA,26482,B,2,2012,4,FAITH E. WHEELER,835,33,NA
4B03,986,1,39308,NA,NA,26482,B,3,2012,4,FRED GRANT,964,22,NA
4B04,1017,3,39308,NA,NA,26482,B,4,2012,4,BRENDA DAWSON PARKS,601,20,NA
4B05,689,1,39308,NA,NA,26482,B,5,2012,4,BRENDA SPEAKS,666,23,NA
4B06,934,1,39308,NA,NA,26482,B,6,2012,4,RONALD (RON) AUSTIN,912,22,NA
4B07,1048,2,39308,NA,NA,26482,B,7,2012,4,JUDI JONES,651,18,NA
4B08,991,1,39308,NA,NA,26482,B,8,2012,4,YVONNE A. JEFFERSON,973,18,NA
4B09,124,0,39308,NA,NA,26482,B,9,2012,4,WRITE-IN,124,124,NA
4C01,733,1,39308,NA,NA,26482,C,1,2012,4,MICHAEL YATES,716,17,NA
4C02,903,1,39308,NA,NA,26482,C,2,2012,4,JANET M. MYERS,878,25,NA
4C03,759,1,39308,NA,NA,26482,C,3,2012,4,JEFF STANDISH,736,23,NA
4C04,382,1,39308,NA,NA,26482,C,4,2012,4,RICKEY WILLIAMS JR,368,14,NA
4C05,524,1,39308,NA,NA,26482,C,5,2012,4,JOSEPH M. VAUGHAN,512,12,NA
4C06,660,2,39308,NA,NA,26482,C,6,2012,4,VANN-DI GALLOWAY,447,15,NA
4C07,852,1,39308,NA,NA,26482,C,7,2012,4,SHANEL O. ANTHONY,829,23,NA
4C08,823,1,39308,NA,NA,26482,C,8,2012,4,TIMOTHY A. JONES,795,28,NA
4C09,832,2,39308,NA,NA,26482,C,9,2012,4,ZACHARY HARTMAN,454,21,NA
4C10,192,0,39308,NA,NA,26482,C,10,2012,4,WRITE-IN,192,192,NA
4D01,576,2,39308,NA,NA,26482,D,1,2012,4,LAMONT AKINS,402,6,NA
4D02,906,1,39308,NA,NA,26482,D,2,2012,4,RENEE L. BOWSER,895,11,NA
4D03,917,1,39308,NA,NA,26482,D,3,2012,4,LISA COLBERT,907,10,NA
4D04,733,1,39308,NA,NA,26482,D,4,2012,4,DONNA BROCKINGTON,717,16,NA
4D05,102,0,39308,NA,NA,26482,D,5,2012,4,WRITE-IN,102,102,NA
4D06,727,1,39308,NA,NA,26482,D,6,2012,4,BILL QUIRK,698,29,NA
5A01,1231,2,38160,NA,NA,30531,A,1,2012,5,FRANK WILDS,627,9,NA
5A02,970,1,38160,NA,NA,30531,A,2,2012,5,MICHAEL WILLIAMS,948,22,NA
5A03,1057,1,38160,NA,NA,30531,A,3,2012,5,ADRIAN JORDAN,1028,29,NA
5A04,4,0,38160,NA,NA,30531,A,4,2012,5,WRITE-IN,4,4,NA
5A05,402,2,38160,NA,NA,30531,A,5,2012,5,RONNIE EDWARDS,218,4,NA
