ward,year,anc,num_candidates,votes,vote_norm,engagement,prop_uncontested,prop_empty
5,2016,D,1.57142857142857,580.142857142857,0.620692763782867,0.848450853879688,0.428571428571429,0
5,2016,E,1.8,736.4,0.618297085840543,0.843876923213786,0.4,0
5,2018,A,1.375,484.5,0.618898880704092,0.7918547686179,0.625,0
5,2018,B,1.2,769,0.736102303073967,0.861280642461674,0.8,0
5,2018,C,1.85714285714286,565.571428571429,0.659876413448165,0.888233742157316,0.428571428571429,0
5,2018,D,1.42857142857143,462.285714285714,0.696558672792771,0.868059545478925,0.571428571428571,0
5,2018,E,1.9,535.8,0.58162636134157,0.81285884701682,0.5,0
6,2012,A,1.5,697.625,NA,NA,0.5,0
6,2012,B,1.5,751.8,NA,NA,0.6,0
6,2012,C,1.16666666666667,694.5,NA,NA,0.833333333333333,0
6,2012,D,1.28571428571429,749.285714285714,NA,NA,0.714285714285714,0
6,2012,E,2.14285714285714,457.142857142857,NA,NA,0.142857142857143,0
6,2014,A,1.625,425.5,0.539097778329452,0.741597868428018,0.5,0
6,2014,B,1.7,470.5,0.575385387396244,0.780178128361459,0.5,0
6,2014,C,1.16666666666667,542.5,0.654624424978396,0.739994097335012,0.833333333333333,0
6,2014,D,1.28571428571429,580.142857142857,0.726213503101882,0.791751560745211,0.857142857142857,0
6,2014,E,2,335.142857142857,0.538147966866863,0.806942787071932,0.142857142857143,0
6,2016,A,1.375,949.75,0.716800177451245,0.830946837307692,0.75,0
6,2016,B,1.1,963.5,0.762199073415814,0.81553102115926,0.9,0
6,2016,C,1,1145,0.766082625847171,0.79829860550383,1,0
6,2016,D,2,859.142857142857,0.560802761934415,0.739722119298424,0.571428571428571,0
6,2016,E,2.28571428571429,727.714285714286,0.573570736425103,0.833574243824291,0.285714285714286,0
6,2018,A,1.375,723.5,0.714550357410299,0.864567413254288,0.625,0
6,2018,B,1.1,781.5,0.783959245257211,0.839029664117041,0.9,0
6,2018,C,1.16666666666667,867.833333333333,0.713314767371757,0.813720224779002,0.833333333333333,0
6,2018,D,1.57142857142857,834.857142857143,0.678010230640799,0.852527647297152,0.571428571428571,0
6,2018,E,1.28571428571429,610.714285714286,0.67037912826546,0.842500659875336,0.714285714285714,0
7,2012,B,0.857142857142857,835,NA,NA,0.857142857142857,0.142857142857143
7,2012,C,1.42857142857143,694.428571428571,NA,NA,0.857142857142857,0
7,2012,D,1.42857142857143,600,NA,NA,0.428571428571429,0.142857142857143
7,2012,E,1.42857142857143,515.285714285714,NA,NA,0.285714285714286,0.142857142857143
7,2012,F,0.857142857142857,501.571428571429,NA,NA,0.571428571428571,0.285714285714286
7,2014,B,1.28571428571429,471,0.654278342852565,0.807619943854138,0.714285714285714,0
7,2014,C,1.57142857142857,284.285714285714,0.613878908942823,0.802745571629081,0.428571428571429,0
7,2014,D,1.28571428571429,321.571428571429,0.604706166451445,0.727481750654711,0.714285714285714,0
7,2014,E,1.57142857142857,300,0.584268029854253,0.795252426500828,0.571428571428571,0
7,2014,F,1.57142857142857,181,0.434276548938486,0.608982266673004,0.571428571428571,0
7,2016,B,1.71428571428571,587,0.502579959278447,0.767115289178267,0.428571428571429,0
7,2016,C,1.57142857142857,530.142857142857,0.559485433007752,0.772453931639843,0.428571428571429,0
7,2016,D,1.42857142857143,649.571428571429,0.663994903897425,0.838878192148863,0.571428571428571,0
