contest_name,year,ward,anc,smd,smd_ballots,smd_anc_votes,explicit_candidates,winner,winner_votes,write_in_votes,over_votes,under_votes,commissioner_name,match,vacant,switcharoo,substantive_write_in,absent,empty
5E06,2018,5,E,6,832,721,2,Karla M. Lewis,374,12,0,111,Karla M. Lewis,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5E07,2018,5,E,7,999,831,1,Bertha G. Holliday,778,53,0,168,Bertha G. Holliday,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5E08,2018,5,E,8,928,739,1,Robert Vinson Brannum,686,53,0,189,Robert Vinson Brannum,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5E09,2018,5,E,9,829,740,4,C. Dianne Barnes,360,13,1,88,Dianne Barnes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5E10,2018,5,E,10,965,853,1,Nancy Darlene Jones,714,139,0,112,Nancy Darlene Jones,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6A01,2018,6,A,1,1022,874,1,Marie-Claire Brown,838,36,1,147,Marie-Claire Brown,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6A02,2018,6,A,2,978,845,1,Phil Toomajian,801,44,0,133,Phil Toomajian,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6A03,2018,6,A,3,1115,974,2,Mike Soderman,536,20,0,141,Mike Soderman,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6A04,2018,6,A,4,1130,985,1,Amber Gove,948,37,0,145,Amber Gove,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6A05,2018,6,A,5,1142,1007,2,Ruth Ann Hudson,548,13,0,135,Ruth Ann Hudson,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6A06,2018,6,A,6,997,849,2,Stephanie Zimny,655,24,1,147,Stephanie Zimny,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6A07,2018,6,A,7,750,659,1,Sondra Phillips-Gilbert,614,45,0,91,Sondra Phillips-Gilbert,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6A08,2018,6,A,8,1057,888,1,Brian Alcorn,848,40,1,168,Brian Alcorn,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6B01,2018,6,B,1,792,661,1,Jennifer E. Samolyk,625,36,0,131,Jennifer E. Samolyk,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6B02,2018,6,B,2,1082,837,1,Gerald Sroufe,804,33,0,245,Gerald Sroufe,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6B03,2018,6,B,3,1073,908,1,Brian Ready,866,42,0,165,Brian Ready,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
