precinct,ward,anc,year,registered_voters,ballots
85,6,A,2014,3929,1911
85,6,C,2014,3929,1911
86,6,A,2014,3093,1305
87,6,B,2014,3566,1482
88,6,B,2014,3056,1565
89,6,B,2014,4014,2050
89,6,C,2014,4014,2050
90,6,B,2014,2379,1102
91,6,B,2014,5551,2082
92,7,D,2014,1944,569
93,7,C,2014,1878,575
93,7,D,2014,1878,575
94,7,C,2014,2427,656
94,7,D,2014,2427,656
95,7,C,2014,2111,566
96,7,C,2014,2895,759
97,7,C,2014,1803,452
98,7,C,2014,2178,717
98,7,D,2014,2178,717
99,7,D,2014,1745,520
99,7,F,2014,1745,520
100,7,D,2014,2589,621
101,7,D,2014,1918,761
102,7,D,2014,2939,867
102,7,F,2014,2939,867
103,7,E,2014,4412,1253
103,7,F,2014,4412,1253
104,7,E,2014,3665,1009
105,7,E,2014,2916,812
106,7,E,2014,3601,1153
107,7,F,2014,2351,474
108,7,B,2014,1301,652
109,7,B,2014,1096,583
110,7,B,2014,4343,1835
110,7,E,2014,4343,1835
111,7,B,2014,3005,909
112,8,A,2014,2394,803
113,7,B,2014,2632,1107
114,8,A,2014,3676,855
114,8,B,2014,3676,855
115,8,B,2014,3422,754
116,8,B,2014,4374,904
116,8,E,2014,4374,904
117,8,E,2014,2129,622
118,8,A,2014,2981,704
118,8,B,2014,2981,704
118,8,C,2014,2981,704
119,8,A,2014,3401,770
119,8,C,2014,3401,770
120,8,C,2014,2102,640
120,8,E,2014,2102,640
121,8,C,2014,3719,986
121,8,E,2014,3719,986
122,8,C,2014,1912,644
123,8,C,2014,2648,745
123,8,D,2014,2648,745
124,8,C,2014,2932,931
124,8,D,2014,2932,931
125,8,D,2014,5333,1249
125,8,E,2014,5333,1249
126,8,D,2014,4294,1003
127,6,D,2014,5095,2161
128,6,D,2014,3141,1245
129,2,A,2014,3136,1175
129,2,C,2014,3136,1175
129,2,D,2014,3136,1175
129,2,F,2014,3136,1175
130,6,B,2014,1438,665
130,6,C,2014,1438,665
131,6,B,2014,2911,1318
131,6,D,2014,2911,1318
132,7,B,2014,2707,683
132,7,F,2014,2707,683
133,8,A,2014,1541,576
134,8,B,2014,2384,732
135,5,E,2014,3702,1553
136,3,C,2014,1297,511
137,1,B,2014,1252,551
138,3,F,2014,2945,1407
138,3,G,2014,2945,1407
139,5,C,2014,2411,1155
140,8,A,2014,2098,691
141,2,B,2014,3180,1439
142,6,D,2014,1896,920
143,2,C,2014,2592,869
1,6,C,2016,6694,4137
1,6,E,2016,6694,4137
2,2,A,2016,1530,887
3,2,A,2016,2760,1753
4,2,A,2016,3231,2176
4,2,B,2016,3231,2176
5,2,E,2016,3591,2661
6,2,E,2016,4562,2775
7,3,D,2016,2273,1538
8,3,D,2016,3928,2946
9,3,D,2016,2218,1701
10,3,D,2016,2978,2244
11,3,B,2016,5851,3904
11,3,C,2016,5851,3904
12,3,B,2016,889,674
12,3,C,2016,889,674
13,2,D,2016,1957,1482
14,2,B,2016,4435,3173
14,2,D,2016,4435,3173
15,2,B,2016,4440,3192
16,2,B,2016,5041,3653
16,2,F,2016,5041,3653
17,2,B,2016,6934,4826
17,2,C,2016,6934,4826
17,2,F,2016,6934,4826
18,6,E,2016,6392,4187
19,5,E,2016,5624,3346
20,1,B,2016,1734,1336
21,6,E,2016,1548,973
22,1,B,2016,5413,3632
23,1,B,2016,3929,2724
24,1,C,2016,3788,2715
25,1,C,2016,5428,4189
26,3,C,2016,4243,3211
27,3,C,2016,3442,2569
27,3,F,2016,3442,2569
28,3,B,2016,3755,2830
28,3,C,2016,3755,2830
29,3,C,2016,2078,1514
29,3,D,2016,2078,1514
29,3,F,2016,2078,1514
30,3,D,2016,1844,1454
30,3,E,2016,1844,1454
31,3,E,2016,3381,2623
32,3,E,2016,3656,2820
32,3,G,2016,3656,2820
33,3,E,2016,3984,3048
33,3,F,2016,3984,3048
34,3,C,2016,5314,4211
34,3,F,2016,5314,4211
35,1,C,2016,4678,3410
36,1,A,2016,5777,3650
36,1,B,2016,5777,3650
37,1,A,2016,4449,2632
37,1,B,2016,4449,2632
38,1,A,2016,3766,2305
39,1,A,2016,5503,3497
39,1,D,2016,5503,3497
40,1,D,2016,5394,3511
41,1,A,2016,4908,2950
42,1,A,2016,2426,1582
43,1,A,2016,2233,1449
44,5,A,2016,3730,2247
44,5,E,2016,3730,2247
45,4,C,2016,2780,1917
46,4,C,2016,3583,2299
46,4,D,2016,3583,2299
47,4,A,2016,4365,2778
47,4,C,2016,4365,2778
48,4,A,2016,3567,2383
48,4,C,2016,3567,2383
49,4,C,2016,1195,766
50,3,G,2016,2922,2244
51,4,G,2016,4595,3587
52,4,G,2016,1684,1337
53,4,A,2016,1630,1085
53,4,C,2016,1630,1085
54,4,C,2016,3037,1926
55,4,C,2016,3065,1927
55,4,D,2016,3065,1927
56,4,D,2016,3896,2451
57,4,B,2016,3141,1989
57,4,D,2016,3141,1989
58,4,B,2016,2760,1740
58,4,D,2016,2760,1740
59,4,B,2016,3185,2034
60,4,A,2016,2853,1674
61,4,A,2016,1953,1339
62,4,A,2016,3777,2811
63,4,B,2016,4552,3055
64,4,B,2016,2789,1906
65,4,B,2016,3144,2166
66,5,A,2016,5152,3526
67,5,A,2016,3421,2312
67,5,B,2016,3421,2312
68,5,A,2016,2475,1690
68,5,B,2016,2475,1690
69,5,B,2016,2432,1657
69,5,C,2016,2432,1657
70,5,B,2016,1788,1214
70,5,C,2016,1788,1214
71,5,C,2016,2797,1790
72,5,C,2016,5182,2934
73,5,B,2016,2373,1606
74,5,B,2016,5670,3542
74,5,E,2016,5670,3542
75,5,E,2016,4949,3138
76,5,C,2016,1842,1070
76,5,D,2016,1842,1070
77,5,D,2016,3469,2183
78,5,C,2016,3623,2003
78,5,D,2016,3623,2003
79,5,D,2016,2585,1423
80,7,D,2016,1935,1116
80,7,F,2016,1935,1116
81,6,A,2016,6089,3971
82,6,A,2016,3516,2384
83,6,A,2016,7133,4985
83,6,C,2016,7133,4985
84,6,C,2016,2998,2200
85,6,A,2016,4051,2862
85,6,C,2016,4051,2862
86,6,A,2016,2948,2083
87,6,B,2016,3610,2459
88,6,B,2016,3011,2187
89,6,B,2016,4083,2941
89,6,C,2016,4083,2941
90,6,B,2016,2393,1577
91,6,B,2016,5503,3516
92,7,D,2016,1863,1040
93,7,C,2016,1828,1086
93,7,D,2016,1828,1086
94,7,C,2016,2385,1318
94,7,D,2016,2385,1318
95,7,C,2016,1930,1177
96,7,C,2016,2809,1575
97,7,C,2016,1718,933
98,7,C,2016,2202,1337
98,7,D,2016,2202,1337
99,7,D,2016,1746,1037
99,7,F,2016,1746,1037
100,7,D,2016,2575,1565
101,7,D,2016,1809,1191
102,7,D,2016,2798,1628
102,7,F,2016,2798,1628
103,7,E,2016,4142,2394
103,7,F,2016,4142,2394
104,7,E,2016,3542,2091
105,7,E,2016,2860,1672
106,7,E,2016,3300,1963
107,7,F,2016,2066,1180
108,7,B,2016,1263,868
109,7,B,2016,1076,796
110,7,B,2016,4220,2759
110,7,E,2016,4220,2759
111,7,B,2016,3126,1661
112,8,A,2016,2531,1474
113,7,B,2016,2457,1762
114,8,A,2016,4200,2011
114,8,B,2016,4200,2011
115,8,B,2016,3589,1555
116,8,B,2016,4876,2341
116,8,E,2016,4876,2341
117,8,E,2016,2524,1475
118,8,A,2016,3306,1767
118,8,B,2016,3306,1767
118,8,C,2016,3306,1767
119,8,A,2016,3555,1620
119,8,C,2016,3555,1620
120,8,C,2016,2337,1327
120,8,E,2016,2337,1327
121,8,C,2016,3947,2178
121,8,E,2016,3947,2178
122,8,C,2016,2064,1187
123,8,C,2016,2868,1633
123,8,D,2016,2868,1633
124,8,C,2016,3048,1717
124,8,D,2016,3048,1717
125,8,D,2016,5469,2847
125,8,E,2016,5469,2847
126,8,D,2016,4646,2333
127,6,D,2016,5281,3641
128,6,D,2016,3433,2307
129,2,A,2016,3739,2391
129,2,C,2016,3739,2391
129,2,D,2016,3739,2391
129,2,F,2016,3739,2391
130,6,B,2016,1418,1000
130,6,C,2016,1418,1000
131,6,B,2016,3792,2948
131,6,D,2016,3792,2948
132,7,B,2016,2435,1293
132,7,F,2016,2435,1293
133,8,A,2016,1532,982
134,8,B,2016,2515,1525
135,5,E,2016,3873,2492
136,3,C,2016,1240,931
137,1,B,2016,1457,1051
138,3,F,2016,3061,2333
138,3,G,2016,3061,2333
139,5,C,2016,2669,1929
140,8,A,2016,2198,1255
141,2,B,2016,3432,2608
142,6,D,2016,2182,1551
143,2,C,2016,2526,1720
