contest_name,year,ward,anc,smd,smd_ballots,smd_anc_votes,explicit_candidates,winner,winner_votes,write_in_votes,over_votes,under_votes
4D02,2012,4,D,02,NA,906,1,RENEE L. BOWSER,895,11,NA,NA
4D03,2012,4,D,03,NA,917,1,LISA COLBERT,907,10,NA,NA
4D04,2012,4,D,04,NA,733,1,DONNA BROCKINGTON,717,16,NA,NA
4D05,2012,4,D,05,NA,102,0,WRITE-IN,102,102,NA,NA
4D06,2012,4,D,06,NA,727,1,BILL QUIRK,698,29,NA,NA
5A01,2012,5,A,01,NA,1231,2,FRANK WILDS,627,9,NA,NA
5A02,2012,5,A,02,NA,970,1,MICHAEL WILLIAMS,948,22,NA,NA
5A03,2012,5,A,03,NA,1057,1,ADRIAN JORDAN,1028,29,NA,NA
5A04,2012,5,A,04,NA,4,0,WRITE-IN,4,4,NA,NA
5A05,2012,5,A,05,NA,402,2,RONNIE EDWARDS,218,4,NA,NA
5A06,2012,5,A,06,NA,823,2,ALBRETTE "GIGI" RANSOM,453,11,NA,NA
5A07,2012,5,A,07,NA,466,1,SANDRA "SANDI" WASHINGTON,453,13,NA,NA
5A08,2012,5,A,08,NA,932,1,ANGEL SHERRI ALSTON,908,24,NA,NA
5B01,2012,5,B,01,NA,1230,4,SHIRLEY RIVENS SMITH,378,13,NA,NA
5B02,2012,5,B,02,NA,953,1,URSULA HIGGINS,910,43,NA,NA
5B03,2012,5,B,03,NA,983,1,TIFFANY BRIDGE,927,56,NA,NA
5B04,2012,5,B,04,NA,957,3,CAROLYN C. STEPTOE,515,9,NA,NA
5B05,2012,5,B,05,NA,981,2,JENESE L. JONES,540,21,NA,NA
5C01,2012,5,C,01,NA,1034,2,ANTONETTE E. RUSSELL,675,28,NA,NA
5C02,2012,5,C,02,NA,845,2,KARLA BUTLER,568,12,NA,NA
5C03,2012,5,C,03,NA,1160,2,BOB KING,713,6,NA,NA
5C04,2012,5,C,04,NA,809,2,JACQUELINE MANNING,418,23,NA,NA
5C05,2012,5,C,05,NA,895,2,REGINA JAMES,567,15,NA,NA
5C06,2012,5,C,06,NA,705,2,MARJORIE D. THOMAS-BARNES,434,15,NA,NA
5C07,2012,5,C,07,NA,988,3,NOLAN TREADWAY,431,15,NA,NA
5D01,2012,5,D,01,NA,364,1,PETA-GAY S. LEWIS,328,36,NA,NA
5D02,2012,5,D,02,NA,736,1,VONETTA DUMAS,685,51,NA,NA
5D03,2012,5,D,03,NA,691,1,INDIA A. HENDERSON,657,34,NA,NA
5D04,2012,5,D,04,NA,477,1,BERNICE S BLACKNELL,456,21,NA,NA
5D05,2012,5,D,05,NA,721,3,KATHY HENDERSON,393,4,NA,NA
5D06,2012,5,D,06,NA,817,1,TINA LASKARIS,778,39,NA,NA
5D07,2012,5,D,07,NA,840,2,DAVID HOOPER,530,12,NA,NA
5E01,2012,5,E,01,NA,625,2,DEBBIE SMITH-STEINER,378,28,NA,NA
5E02,2012,5,E,02,NA,588,3,CHRISTY 'LOVE' DAVIS,360,8,NA,NA
5E03,2012,5,E,03,NA,845,1,TIM CLARK,813,32,NA,NA
5E04,2012,5,E,04,NA,990,2,SYLVIA M. PINKNEY,678,17,NA,NA
5E05,2012,5,E,05,NA,889,2,JOYCE ROBINSON-PAUL,459,25,NA,NA
5E06,2012,5,E,06,NA,908,3,TERI JANINE "TJ" QUINN,431,8,NA,NA
5E07,2012,5,E,07,NA,919,3,WANDA B. FOSTER,380,24,NA,NA
5E08,2012,5,E,08,NA,819,1,MARK MUELLER,784,35,NA,NA
5E09,2012,5,E,09,NA,931,3,C. DIANNE BARNES,365,16,NA,NA
5E10,2012,5,E,10,NA,946,2,ANGELA C. BLANKS,481,12,NA,NA
6A01,2012,6,A,01,NA,907,1,J. OMAR MAHMUD,842,65,NA,NA
6A02,2012,6,A,02,NA,943,2,GLORIA NAUDEN,469,13,NA,NA
6A03,2012,6,A,03,NA,978,1,DAVID HOLMES,952,26,NA,NA
6A04,2012,6,A,04,NA,996,1,NICK ALBERTI,905,91,NA,NA
6A05,2012,6,A,05,NA,970,1,JAY WILLIAMS,915,55,NA,NA
6A06,2012,6,A,06,NA,908,2,ANDREW J HYSELL,552,51,NA,NA
